Model,PromptType,Acc,CR,LiMem,Confidence, Avg_ms
gpt-oss:120b,zero-shot,0.875,0.02857142857142857,0.85,0.9219715390275419,1586641.0862000193
llama4:latest,zero-shot,0.05,0.0,0.05,0.9817007932995163,143962.79710001545
gpt-oss:120b,few-shot,0.3,0.0,0.3,0.9032081479245855,641146.4860000415
llama4:latest,few-shot,0.05,0.0,0.05,0.9835249194079656,147277.63409999898
gpt-oss:120b,chain-of-thought,0.55,0.0,0.55,0.9016266710064146,779324.1164000356
llama4:latest,chain-of-thought,0.05,0.0,0.05,0.9833873737701739,149456.80649997666
llama4:latest,self-consistency,0.05,0.0,0.05,0.9825091126297356,146591.4620999829
gpt-oss:120b,self-consistency,0.0,0.0,0.0,0.9192098863427726,1622176.1234999867
gpt-oss:120b,tree-of-thought,0.75,0.0,0.75,0.8937447710718704,1166066.9399999897
llama4:latest,tree-of-thought,0.05,0.0,0.05,0.9841512147483876,147253.15160001628
llama4:latest,persona,0.075,0.0,0.075,0.9834638780209444,146723.1573999743
gpt-oss:120b,persona,0.0,0.0,0.0,0.9032255391048718,706559.1860999702
gpt-oss:120b,self-ask,0.6,0.0,0.6,0.9149757342958262,943728.9903999772
llama4:latest,self-ask,0.05,0.0,0.05,0.9825769110928019,148083.99020001525
